institution_id,institution_display_name,institution_ror,institution_country_code,institution_type,institution_lineage,author_id,author_display_name,author_orcid,id
https://openalex.org/I45129253,University College London,https://ror.org/02jx3x895,GB,education,"['https://openalex.org/I124357947', 'https://openalex.org/I45129253']",https://openalex.org/A5029801736,Nick Watts,,https://openalex.org/W3110437710
https://openalex.org/I1317774081,International Institute for Applied Systems Analysis,https://ror.org/02wfhk785,AT,nonprofit,['https://openalex.org/I1317774081'],https://openalex.org/A5001761691,Markus Amann,,https://openalex.org/W3110437710
https://openalex.org/I71052956,University of Reading,https://ror.org/05v62cm79,GB,education,['https://openalex.org/I71052956'],https://openalex.org/A5001803562,Nigel W. Arnell,https://orcid.org/0000-0003-2691-4436,https://openalex.org/W3110437710
https://openalex.org/I4210151564,Institute for Environment and Human Security,https://ror.org/05egrn753,DE,facility,"['https://openalex.org/I4210104502', 'https://openalex.org/I4210151564']",https://openalex.org/A5025931199,Sonja Ayeb‐Karlsson,https://orcid.org/0000-0001-6124-2730,https://openalex.org/W3110437710
https://openalex.org/I4210148429,United Nations University,https://ror.org/040aqvh16,DE,other,"['https://openalex.org/I4210104502', 'https://openalex.org/I4210148429']",https://openalex.org/A5025931199,Sonja Ayeb‐Karlsson,https://orcid.org/0000-0001-6124-2730,https://openalex.org/W3110437710
https://openalex.org/I45129253,University College London,https://ror.org/02jx3x895,GB,education,"['https://openalex.org/I124357947', 'https://openalex.org/I45129253']",https://openalex.org/A5090001363,Jessica Beagley,https://orcid.org/0000-0003-4649-0124,https://openalex.org/W3110437710
https://openalex.org/I4210089966,London School of Hygiene & Tropical Medicine,https://ror.org/00a0jsq62,GB,education,"['https://openalex.org/I124357947', 'https://openalex.org/I4210089966']",https://openalex.org/A5021214100,Kristine Belesova,https://orcid.org/0000-0002-6160-5041,https://openalex.org/W3110437710
https://openalex.org/I188538660,University of Colorado Boulder,https://ror.org/02ttsq026,US,education,"['https://openalex.org/I188538660', 'https://openalex.org/I2802236040']",https://openalex.org/A5091571015,Maxwell Boykoff,,https://openalex.org/W3110437710
https://openalex.org/I90267481,Umeå University,https://ror.org/05kb8h459,SE,education,['https://openalex.org/I90267481'],https://openalex.org/A5045136017,Peter Byass,,https://openalex.org/W3110437710
https://openalex.org/I99065089,Tsinghua University,https://ror.org/03cve4549,CN,education,['https://openalex.org/I99065089'],https://openalex.org/A5016144119,Wenjia Cai,https://orcid.org/0000-0002-4436-512X,https://openalex.org/W3110437710
https://openalex.org/I4210105654,World Health Organization,https://ror.org/01f80g185,CH,government,['https://openalex.org/I4210105654'],https://openalex.org/A5006713928,Diarmid Campbell-Lendrum,https://orcid.org/0000-0002-2503-7059,https://openalex.org/W3110437710
https://openalex.org/I79510175,Cardiff University,https://ror.org/03kk7td41,GB,education,['https://openalex.org/I79510175'],https://openalex.org/A5031309215,Stuart Capstick,https://orcid.org/0000-0002-1934-4503,https://openalex.org/W3110437710
https://openalex.org/I114457229,University of Geneva,https://ror.org/01swzsf04,CH,education,['https://openalex.org/I114457229'],https://openalex.org/A5013081978,Jonathan Chambers,https://orcid.org/0000-0002-2332-8143,https://openalex.org/W3110437710
https://openalex.org/I45129253,University College London,https://ror.org/02jx3x895,GB,education,"['https://openalex.org/I124357947', 'https://openalex.org/I45129253']",https://openalex.org/A5011511447,Samantha Coleman,,https://openalex.org/W3110437710
https://openalex.org/I4210121317,Centre for Sustainable Energy,https://ror.org/02z06eb16,GB,nonprofit,['https://openalex.org/I4210121317'],https://openalex.org/A5038538956,Carole Dalin,https://orcid.org/0000-0002-2123-9622,https://openalex.org/W3110437710
https://openalex.org/I45129253,University College London,https://ror.org/02jx3x895,GB,education,"['https://openalex.org/I124357947', 'https://openalex.org/I45129253']",https://openalex.org/A5038538956,Carole Dalin,https://orcid.org/0000-0002-2123-9622,https://openalex.org/W3110437710
https://openalex.org/I275799156,University of New England,https://ror.org/02n2ava60,US,education,['https://openalex.org/I275799156'],https://openalex.org/A5046537658,Meaghan Daly,,https://openalex.org/W3110437710
https://openalex.org/I79619799,University of Birmingham,https://ror.org/03angcq70,GB,education,['https://openalex.org/I79619799'],https://openalex.org/A5075507788,Niheer Dasandi,https://orcid.org/0000-0002-8708-837X,https://openalex.org/W3110437710
https://openalex.org/I4210111827,Euro-Mediterranean Center for Climate Change,https://ror.org/01tf11a61,IT,nonprofit,['https://openalex.org/I4210111827'],https://openalex.org/A5080008317,Shouro Dasgupta,https://orcid.org/0000-0003-4080-8066,https://openalex.org/W3110437710
https://openalex.org/I45129253,University College London,https://ror.org/02jx3x895,GB,education,"['https://openalex.org/I124357947', 'https://openalex.org/I45129253']",https://openalex.org/A5064147154,Martin Davies,https://orcid.org/0000-0003-2173-7063,https://openalex.org/W3110437710
https://openalex.org/I71052956,University of Reading,https://ror.org/05v62cm79,GB,education,['https://openalex.org/I71052956'],https://openalex.org/A5072025370,Claudia Di Napoli,https://orcid.org/0000-0002-4901-3641,https://openalex.org/W3110437710
https://openalex.org/I4210089966,London School of Hygiene & Tropical Medicine,https://ror.org/00a0jsq62,GB,education,"['https://openalex.org/I124357947', 'https://openalex.org/I4210089966']",https://openalex.org/A5047271070,Paula Domínguez-Salas,,https://openalex.org/W3110437710
https://openalex.org/I4210121317,Centre for Sustainable Energy,https://ror.org/02z06eb16,GB,nonprofit,['https://openalex.org/I4210121317'],https://openalex.org/A5086841394,Paul Drummond,https://orcid.org/0000-0002-6921-0474,https://openalex.org/W3110437710
